product_id,product_name_raw,product_name_clean,강조문구_1,강조문구_2,강조문구_3,clean_predict,raw_predict
A000000256802,[카니PICK/속수분크림] 웰라쥬 리얼 히알루로닉 수딩 크림 80ml 기획(+20ml),웰라쥬 리얼 히알루로닉 수딩 크림,수분·수부지·아쿠아,진정·시카·민감,,수분·수부지·아쿠아(히알루); 진정·시카·민감(수딩),
A000000185456,[수분톤업/화잘먹 톤프렙] 나인위시스 비건 화이트 톤업 크림 50ml,나인위시스 비건 화이트 톤업 크림,미백·잡티·톤업,,,"미백·잡티·톤업(톤업,화이트)",
A000000238594,[남자올인원] 우노 크림 퍼펙션 90g,우노 크림 퍼펙션,기타/강조문구 약함,,,,
A000000212570,바이오더마 시카비오 크림+ 100ml 기획 (크림 + 40ml 본품 추가 증정),바이오더마 시카비오 크림,진정·시카·민감,,,진정·시카·민감(시카),
A000000251274,[손상/장벽 리페어] 아벤느 시칼파트 플러스 S.O.S 크림 100ml 2입 기획(딥모100ml+헤어핀),아벤느 시칼파트 플러스 S.O.S 크림 (딥모100ml 헤어핀),보습·장벽·리페어,,,,"보습·장벽·리페어(장벽,리페어)"
A000000191715,[수분/진정] 아벤느 클리낭스 아쿠아크림-인-젤 수분 크림50ml 2입기획,아벤느 클리낭스 아쿠아크림-인-젤 수분 크림50ml 2입,수분·수부지·아쿠아,,,"수분·수부지·아쿠아(수분,아쿠아)",
A000000199714,[장벽보습크림] 닥터지 더모이스처 배리어 D 인텐스 크림 100ml 기획 3종,닥터지 더모이스처 배리어 D 인텐스 크림 3종,보습·장벽·리페어,,,"보습·장벽·리페어(배리어,모이스처)",
A000000248200,[2700만개 판매] 유세린 하이알루론 3X 나이트크림 50ml 기획 (+나이트크림7ml*2),유세린 하이알루론 3X 나이트크림 ( 나이트크림7ml*2),수분·수부지·아쿠아,,,수분·수부지·아쿠아(하이알),
A000000248587,[시카크림] 톤28 해남404 새벽크림 센텔라 아시아티카 크림 50g,톤28 해남404 새벽크림 센텔라 아시아티카 크림,진정·시카·민감,,,진정·시카·민감(센텔라),
A000000192105,[227만개판매] CKD 레티노콜라겐 저분자 300 괄사 목주름 크림 50ml 1+1 기획,CKD 레티노콜라겐 저분자 300 괄사 목주름 크림,탄력·주름·안티에이징,,,"탄력·주름·안티에이징(주름,콜라겐,목주름)",
A000000244683,[단독기획/트러블1위] 셀인샷 알란테놀 트러블 크림 70ml 기획 (+크림 20ml*2),셀인샷 알란테놀 트러블 크림 ( 크림 *2),피지·모공·트러블,,,피지·모공·트러블(트러블),
A000000236508,프리메라 비타티놀 인텐스 바운시 리프트 마스크 크림 30ml 기획/단품,프리메라 비타티놀 인텐스 바운시 리프트 마스크 크림 /,미백·잡티·톤업,,,미백·잡티·톤업(비타),
A000000231399,[색소침착/흔적] 청미정 기미잡티크림 카카두플럼 50g,청미정 기미잡티크림 카카두플럼,미백·잡티·톤업,,,"미백·잡티·톤업(잡티,기미)",
A000000255949,[단독/증정기획] 헤브블루 살몬 케어링 센텔라 크림 100ml 기획 (+버블 클렌저 30ml),헤브블루 살몬 케어링 센텔라 크림 ( 버블 클렌저 ),진정·시카·민감,,,진정·시카·민감(센텔라),
A000000251651,[3세대 리뉴얼] 닥터지 레드 블레미쉬 클리어 수딩크림 EX 70ml,닥터지 레드 블레미쉬 클리어 수딩크림 EX,진정·시카·민감,피지·모공·트러블,,"진정·시카·민감(수딩,레드,블레미쉬); 피지·모공·트러블(블레미쉬)",
A000000225127,[보습장벽크림] 코스알엑스 더 세라마이드 스킨 베리어 모이스처라이저 80ml,코스알엑스 더 세라마이드 스킨 베리어 모이스처라이저,보습·장벽·리페어,,,"보습·장벽·리페어(베리어,모이스처,세라마이드,세라)",
A000000158038,[채서안PICK/보습탄력] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (+30ml 추가 증정),아비브 부활초 크림 뉴트리션 튜브,보습·장벽·리페어,탄력·주름·안티에이징,,,보습·장벽·리페어(보습); 탄력·주름·안티에이징(탄력)
A000000188831,조선미녀 조선미녀크림 50ml,조선미녀 조선미녀크림,기타/강조문구 약함,,,,
A000000256050,[단독기획] 토리든 밸런스풀 시카 진정 크림 80ml 기획(+세럼10ml+패드10매),토리든 밸런스풀 시카 진정 크림 ( 세럼10ml 패드10매),진정·시카·민감,,,"진정·시카·민감(진정,시카)",
A000000250103,이지듀 EGFx 다운타임 크림 60ml 기획(+오인트 겔 5ml),이지듀 EGFx 다운타임 크림 ( 오인트 겔 ),탄력·주름·안티에이징,,,탄력·주름·안티에이징(EGF),
A000000225180,[보습광채] 코스알엑스 어드벤스드 스네일 92 올인원 크림 100g,코스알엑스 어드벤스드 스네일 92 올인원 크림,보습·장벽·리페어,미백·잡티·톤업,,,보습·장벽·리페어(보습); 미백·잡티·톤업(광채)
A000000200666,[단독기획] 토리든 셀메이징 저분자 콜라겐 탄력 크림 60ml 기획 (+20ml),토리든 셀메이징 저분자 콜라겐 탄력 크림,탄력·주름·안티에이징,,,"탄력·주름·안티에이징(탄력,콜라겐)",
A000000199155,[민감진정] 라운드랩 포 맨 소나무 진정 시카 크림 75ml,라운드랩 포 맨 소나무 진정 시카 크림,진정·시카·민감,남성·포맨,,"진정·시카·민감(진정,시카); 남성·포맨(포 맨)",
A000000248422,[박희선Pick] 아누아 어성초 77 B3 징크 수딩 크림 80ml,아누아 어성초 77 B3 징크 수딩 크림,진정·시카·민감,,,진정·시카·민감(수딩),
A000000242718,[장벽+보습] 차앤박 더마앤서 배리어 리셋 크림 80ml 기획 (+31ml),차앤박 더마앤서 배리어 리셋 크림,보습·장벽·리페어,,,보습·장벽·리페어(배리어),
A000000254720,아이오페 비타민C 엑스퍼트 40% 마스크 컨센트레이트 15g 기획 (+ PDRN 10ml),아이오페 비타민C 엑스퍼트 40% 마스크 컨센트레이트 ( PDRN ),탄력·주름·안티에이징,미백·잡티·톤업,,"탄력·주름·안티에이징(PDRN); 미백·잡티·톤업(비타,비타민)",
A000000212010,[기미잡티 크림]LBB 골드렐라 펩타이드 28 안티 멜라닌 마스크 크림 100ml,LBB 골드렐라 펩타이드 28 안티 멜라닌 마스크 크림,탄력·주름·안티에이징,미백·잡티·톤업,,탄력·주름·안티에이징(안티); 미백·잡티·톤업(멜라),
A000000172453,[속건조/진정보습] 닥터지 레드 블레미쉬 클리어 모이스처 크림 70ml 기획 (+30ml 증정),닥터지 레드 블레미쉬 클리어 모이스처 크림,보습·장벽·리페어,진정·시카·민감,피지·모공·트러블,"보습·장벽·리페어(모이스처); 진정·시카·민감(레드,블레미쉬); 피지·모공·트러블(블레미쉬)",
A000000234280,[끈적임 없는 레드시카] SVR 시카비트+ 크림 HPPI 100ml/40ml [기획(+ 2ml*5ea)/단품],SVR 시카비트 크림 HPPI /,진정·시카·민감,,,진정·시카·민감(시카),
A000000147109,[보습장벽크림] 유세린 우레아 리페어 크림 50ml,유세린 우레아 리페어 크림,보습·장벽·리페어,,,보습·장벽·리페어(리페어),
A000000198721,[쿨링진정] 아비브 어성초 크림 카밍 튜브 75ml,아비브 어성초 크림 카밍 튜브,진정·시카·민감,,,진정·시카·민감(카밍),
A000000200133,[민감/진정크림]아벤느 똘레랑스 하이드레이팅 플루이드 40ml,아벤느 똘레랑스 하이드레이팅 플루이드,수분·수부지·아쿠아,,,수분·수부지·아쿠아(하이드레이팅),
A000000247202,[민감/진정크림]아벤느 똘레랑스 하이드레이팅 크림 40ml,아벤느 똘레랑스 하이드레이팅 크림,수분·수부지·아쿠아,,,수분·수부지·아쿠아(하이드레이팅),
A000000253623,[1등 진정/흔적] 센텔리안24 마데카 크림 타임리버스 50ml 더블기획 (+15ml 2ea+푸린 피크닉매트 포켓몬),센텔리안24 마데카 크림 타임리버스 ( 푸린 피크닉매트 포켓몬),진정·시카·민감,탄력·주름·안티에이징,,진정·시카·민감(마데카); 탄력·주름·안티에이징(타임리버스),
A000000227939,[수분탄력크림] 퍼셀 픽셀바이옴 히알 콜라겐 유산균 크림 50ml,퍼셀 픽셀바이옴 히알 콜라겐 유산균 크림,탄력·주름·안티에이징,,,탄력·주름·안티에이징(콜라겐),
A000000161804,라로슈포제 똘러리앙 덤알레르고 플루이드 40ml,라로슈포제 똘러리앙 덤알레르고 플루이드,기타/강조문구 약함,,,,
A000000164614,어바웃미 숲 진정 수분 크림 80ml (100시간 수분지속 진정크림),어바웃미 숲 진정 수분 크림 (100시간 수분지속 진정크림),수분·수부지·아쿠아,진정·시카·민감,,수분·수부지·아쿠아(수분); 진정·시카·민감(진정),
A000000246776,[더블기획/수부지맞춤] 라운드랩 자작나무 수분 크림 80ml 더블 기획 (+말랑 파우치) (눈멍이 콜라보),라운드랩 자작나무 수분 크림 ( 말랑 파우치) (눈멍이 콜라보),수분·수부지·아쿠아,,,수분·수부지·아쿠아(수분),
A000000155291,[진정크림/총100ml] 웰라쥬 리얼 시카카밍 95 크림 80ml 기획 (+20ml),웰라쥬 리얼 시카카밍 95 크림,진정·시카·민감,,,"진정·시카·민감(시카,카밍)",
A000000156230,[1등 모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획(60ml+30ml),에스네이처 아쿠아 스쿠알란 수분크림,수분·수부지·아쿠아,,,"수분·수부지·아쿠아(수분,아쿠아)",
A000000211085,[화잘먹크림] 오드로이 모공수축크림 로프디 모공타이트닝 100ml,오드로이 모공수축크림 로프디 모공타이트닝,피지·모공·트러블,,,"피지·모공·트러블(모공,타이트,모공수축)",
A000000253621,[1등 장벽PDRN/푸린백팩] 센텔리안24 마데카 크림 액티브 리뉴 PDRN 50ml 기획 (+15ml 포켓몬 에디션),센텔리안24 마데카 크림 액티브 리뉴 PDRN ( 포켓몬 에디션),진정·시카·민감,탄력·주름·안티에이징,,진정·시카·민감(마데카); 탄력·주름·안티에이징(PDRN),
A000000200804,[화잘먹 결크림] 마몽드 플로라 글로우 로즈 스무딩 크림 50ml,마몽드 플로라 글로우 로즈 스무딩 크림,기타/강조문구 약함,,,,
A000000211188,피지오겔 시카밸런스 포맨 카밍 크림 70ml,피지오겔 시카밸런스 포맨 카밍 크림,진정·시카·민감,피지·모공·트러블,남성·포맨,"진정·시카·민감(시카,카밍); 피지·모공·트러블(피지); 남성·포맨(포맨)",
