product_id,product_name,canonical_name,ingredient_order,concentration_ppm
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,마데카소사이드,30,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,폴리글리세릴-10라우레이트,31,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,포스파티딜콜린,32,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,하이드로제네이티드레시틴,33,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,칼슘판토테네이트,34,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,스쿠알란,35,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,에리스리톨,36,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,에틸헥실팔미테이트,37,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,아시아티코사이드,38,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,마데카식애씨드,39,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,아시아틱애씨드,40,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,트라이하이드록시스테아린,41,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,세라마이드엔피,42,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,다발방패버섯추출물,43,
A000000255752,닥터지 레드블레미쉬 클리어 수딩크림 EX,잔탄검,44,
A000000206904,라로슈포제 시카플라스트 밤 B5,정제수,1,
A000000206904,라로슈포제 시카플라스트 밤 B5,하이드로제네이티드폴리아이소부텐,2,
A000000206904,라로슈포제 시카플라스트 밤 B5,다이메티콘,3,
A000000206904,라로슈포제 시카플라스트 밤 B5,글리세린,4,
